Book,0
D&C,3654
Psalms,2461
Alma,1975
Genesis,1533
Jeremiah,1364
Isaiah,1292
Numbers,1288
Ezekiel,1273
Exodus,1213
Luke,1151
Matthew,1071
Job,1070
Acts,1007
Deuteronomy,959
1 Chronicles,942
Proverbs,915
John,879
Leviticus,859
2 Chronicles,822
1 Kings,816
1 Samuel,810
3 Nephi,785
Mosiah,785
2 Nephi,779
2 Kings,719
2 Samuel,695
Mark,678
Joshua,658
Judges,618
1 Nephi,618
Helaman,497
1 Corinthians,437
Ether,433
Romans,433
Nehemiah,406
Revelation,404
Daniel,357
Moses,356
Hebrews,303
Ezra,280
2 Corinthians,257
Mormon,227
Ecclesiastes,222
Zechariah,211
Jacob,203
Hosea,197
Esther,167
Moroni,163
Ephesians,155
Lamentations,154
Galatians,149
Amos,146
Abraham,136
Solomon's Song,117
1 Timothy,113
James,108
Micah,105
1 John,105
1 Peter,105
Philippians,104
Colossians,95
1 Thessalonians,89
Ruth,85
2 Timothy,83
Joseph Smith—History,75
Joel,73
2 Peter,61
Habakkuk,56
Malachi,55
Joseph Smith—Matthew,55
Zephaniah,53
4 Nephi,49
Jonah,48
Nahum,47
2 Thessalonians,47
Titus,46
Haggai,38
Omni,30
Enos,27
Philemon,25
Jude,25
Obadiah,21
Words of Mormon,18
Jarom,15
3 John,14
2 John,13
Articles of Faith,13
